titulo,categoria,duracion,descripcion,dificultad,url
"Curso de R","Datos","1h 30m 54s","Aprende programación en R para análisis estadístico y visualización de datos.","Intermedio","https://www.youtube.com/watch?v=WCcHcWsMN1o"
"Curso de Deep Learning","Datos","37h 16m 40s","Aprende los fundamentos del aprendizaje profundo y redes neuronales.","Avanzado","https://www.youtube.com/watch?v=IA3WxTTPXqQ"
"Curso de Data Science","Datos","11h 59m 26s","Aprende ciencia de datos desde cero con Python y sus librerías más populares.","Intermedio","https://www.youtube.com/watch?v=Rgag-Clu5L4"
"Píldoras Informáticas","Ciberseguridad","1000+ videos","Canal educativo con tutoriales de programación, bases de datos, desarrollo web y más. Ideal para aprender desde cero con explicaciones claras y detalladas.","Todos los niveles","https://www.youtube.com/@pildorasinformaticas"
"Dorian Designs","Datos","500+ videos","Tutoriales de diseño gráfico, edición de video, animación y herramientas creativas. Aprende a dominar Adobe Photoshop, Illustrator, After Effects y más.","Intermedio-Avanzado","https://www.youtube.com/@DorianDesings"
"600 English Words for Everyday Life","Idiomas","3h 8m 31s","Aprende 600 palabras esenciales en inglés para la vida diaria. Vocabulario práctico y útil para mejorar tu fluidez en conversaciones cotidianas.","Intermedio","https://www.youtube.com/watch?v=5qiYEKVZAIM"
"Coding is Fun","Programación","300+ videos","Tutoriales de programación, desarrollo web, aplicaciones móviles y proyectos prácticos. Aprende Python, JavaScript, React, Node.js y más tecnologías modernas.","Principiante-Intermedio","https://www.youtube.com/@CodingIsFun"
"Curso de Active Directory","Ciberseguridad","40m 16s","Aprende sobre Active Directory aplicado a la ciberseguridad. Configuración básica, gestión de usuarios y conceptos esenciales de seguridad en entornos de red Windows.","Intermedio","https://www.youtube.com/watch?v=daYt6R4PJrI"
"Redes para Hacking Ético","Ciberseguridad","34m 7s","Fundamentos de redes informáticas aplicados al hacking ético. Aprende sobre protocolos, análisis de tráfico y técnicas de seguridad en redes.","Intermedio","https://www.youtube.com/watch?v=tNeRFm2jY7c"
"Python para Ciberseguridad","Ciberseguridad","16m 57s","Aprende a utilizar Python para tareas de ciberseguridad. Automatización de pruebas de penetración, análisis de malware y más con Python.","Intermedio-Avanzado","https://www.youtube.com/watch?v=ER9S6sI-QLI"
"Curso de Hacking Ético Completo","Ciberseguridad","10m 40s","Curso completo de hacking ético que cubre desde los fundamentos hasta técnicas avanzadas de seguridad informática y pruebas de penetración.","Avanzado","https://www.youtube.com/watch?v=L96SqQeBMa8"
"Curso de ChatGPT para Desarrolladores","IA","2h 15m","Aprende a integrar ChatGPT en tus aplicaciones para crear soluciones de IA.","Intermedio","https://www.youtube.com/watch?v=ZZq4TpNgnvg"
"Curso de Midjourney","IA","1h 30m","Domina la generación de imágenes con inteligencia artificial.","Principiante","https://www.youtube.com/watch?v=example2"
"Curso de Gemini para Programadores","IA","3h","Aprende a usar Gemini de Google para optimizar tu código y proyectos.","Avanzado","https://www.youtube.com/watch?v=example3"
